feature,importance
bbox_width_ratio,0.048835599630682854
bbox_area_ratio,0.04068225179065043
swin_t_PC2,0.03084337840753041
swin_t_PC3,0.0307458985663654
resnet50_PC3,0.028936265862924873
complexity,0.02767440555947212
perimeter_norm,0.027498922240386654
ref_chamfer,0.023522113566462933
resnet50_PC7,0.023496272628291525
edge_density,0.023223601559403503
resnet50_PC10,0.020421639399666697
swin_t_PC8,0.019494467195743215
aspect_ratio,0.019138047498148555
swin_t_PC17,0.01890589914522783
resnet50_PC11,0.018582373887108053
solidity,0.017908251284680134
resnet50_PC1,0.01764622186278296
orientation_entropy,0.01661545214457899
swin_t_PC10,0.016311064476991564
swin_t_PC1,0.016279106143711256
resnet50_PC5,0.01626880301958328
swin_t_PC16,0.01622098871805121
ink_ratio,0.01619597139116708
fill_ratio,0.015972090213620713
resnet50_PC13,0.015829884425643155
swin_t_PC18,0.01563679266029974
resnet50_PC4,0.015546865342579062
ref_iou,0.015495602425024575
swin_t_PC20,0.015459119953545248
swin_t_PC4,0.015397325507393912
ref_cosine,0.015382280770048374
swin_t_PC6,0.015272647614507855
resnet50_PC19,0.015242450936699079
resnet50_PC2,0.014747639233204372
swin_t_PC13,0.014724163812954865
resnet50_PC6,0.014696411121666014
resnet50_PC8,0.014686963074871207
elongation,0.014686204972001644
resnet50_PC17,0.014614798539378384
swin_t_PC12,0.014521296709154924
resnet50_PC14,0.014505898795823136
resnet50_PC12,0.014473765390266695
resnet50_PC16,0.014368296039859023
swin_t_PC9,0.013887305176745763
resnet50_PC9,0.01387870604057278
swin_t_PC7,0.013854289635076457
swin_t_PC15,0.013836312302355231
resnet50_PC18,0.013605474181095216
swin_t_PC19,0.013337780070959442
resnet50_PC15,0.013219219805280423
swin_t_PC5,0.013006798569434564
swin_t_PC11,0.012806873862333272
bbox_height_ratio,0.012627393158772891
swin_t_PC14,0.011990774782398024
resnet50_PC20,0.011494507719317298
component_count,0.003855188450608457
hole_count,0.0018918827268966545
