PC,explained_variance_ratio,cumulative
PC1,0.1413802242572278,0.1413802242572278
PC2,0.07654101330825783,0.21792123756548562
PC3,0.05960977344354432,0.27753101100902994
PC4,0.04767065454031796,0.3252016655493479
PC5,0.04241584580101298,0.36761751135036086
PC6,0.037614467157710295,0.40523197850807113
PC7,0.025228006503964846,0.430459985012036
PC8,0.02449870868594649,0.4549586936979825
PC9,0.02402607927350087,0.47898477297148334
PC10,0.0181586113040548,0.49714338427553817
PC11,0.016832845497633094,0.5139762297731713
PC12,0.016564054097341803,0.5305402838705131
PC13,0.015653070685295215,0.5461933545558083
PC14,0.01398829466517576,0.5601816492209841
PC15,0.013246429505876204,0.5734280787268603
PC16,0.012513067482435412,0.5859411462092957
PC17,0.011443547266711642,0.5973846934760073
PC18,0.011030139831104789,0.6084148333071121
PC19,0.010522307139850758,0.6189371404469629
PC20,0.009670822623836518,0.6286079630707995
PC21,0.009301015098249887,0.6379089781690493
PC22,0.008976389261168047,0.6468853674302174
PC23,0.008505303482669337,0.6553906709128867
PC24,0.00768632839577136,0.663076999308658
PC25,0.00721345625504855,0.6702904555637066
PC26,0.006688589280196626,0.6769790448439033
PC27,0.006506267675029443,0.6834853125189327
PC28,0.006233632106558878,0.6897189446254917
PC29,0.005835881489718889,0.6955548261152106
PC30,0.0057469253509736425,0.7013017514661842
PC31,0.005586423352223984,0.7068881748184083
PC32,0.005258660224343299,0.7121468350427516
PC33,0.005159987170402189,0.7173068222131538
PC34,0.004863063768683137,0.722169885981837
PC35,0.004592211862085117,0.7267620978439221
PC36,0.004448642334554672,0.7312107401784768
PC37,0.0044063630260996545,0.7356171032045764
PC38,0.004214943280850028,0.7398320464854264
PC39,0.00409450777510254,0.743926554260529
PC40,0.003976202013799155,0.7479027562743281
PC41,0.003799595238235089,0.7517023515125633
PC42,0.003665928677708258,0.7553682801902715
PC43,0.003613699252895532,0.758981979443167
PC44,0.0035219518361416543,0.7625039312793087
PC45,0.0034715431279418734,0.7659754744072506
PC46,0.003222386521667522,0.7691978609289181
PC47,0.0031511532939260136,0.7723490142228441
PC48,0.003075509238855873,0.7754245234617
PC49,0.0029729286807310567,0.7783974521424311
PC50,0.0029285823428359644,0.781326034485267
